video_id,title,channel,published_at,theme
LiVlS9scKO0,Mundo em Alerta: China apresenta tecnologia para cortar cabos submarinos,Fatos Desconhecidos,2025-04-01T21:30:04Z,tecnologia
sTMwxgzc4jE,"MC Kelvinho, MC Cebezinho, DJ GH - Tecnologia (Videoclipe Oficial)",MC Kelvinho,2024-12-04T21:00:06Z,tecnologia
C5Ec_1uLSR8,Mercado brasileiro atrai gigantes da tecnologia | SBT Brasil (31/03/25),SBT News,2025-03-31T23:40:57Z,tecnologia
bydwBgc-SZM,A Incrível Tecnologia da China que Está Assustando o Mundo,Canal Top10,2024-12-23T22:14:16Z,tecnologia
BHh68tEPUgs,Lançaram um COMPUTADOR QUÂNTICO !!!,TecnoGeek,2024-12-20T19:28:27Z,tecnologia
N6h4FIr3-Sk,Entenda: o que é tecnologia? – TecMundo,TecMundo,2021-12-13T15:00:10Z,tecnologia
rD3AIkASKvM,Vazou o ÓCULOS DA APPLE 😱,TecnoGeek,2024-02-13T17:35:29Z,tecnologia
UGXkdfnQQ1g,Elon Musk Revela Robôs Androids Incríveis: O Futuro da Tecnologia e IA!,Explorador de Curiosidades®,2025-01-18T14:45:04Z,tecnologia
Qxe07BWpkWk,As 10 Inovações tecnológicas que transformarão o mundo em 2024,Diego Candido,2024-02-25T11:00:19Z,tecnologia
0H1QjD1fi6Q,O que é inovação: conceitos básicos - Professor Mario Sergio Salerno,LGI USP,2014-09-26T16:27:41Z,tecnologia
cQujsCb9Ulc,9. MC LIPI - INOVAÇÃO FT. L7NNON (Positividade),MC Lipi Oficial,2023-10-03T18:16:41Z,tecnologia
8rl4InIPml4,O que é inovação? Conceito e exemplos - com Luís Felipe Carvalho,AEVO,2023-02-16T13:00:04Z,tecnologia
cIwtwgINOuw,INOVAÇÃO | COMO INOVAR DENTRO DO SEU NEGÓCIO  | O Conselho 04,O Conselho | Flávio Augusto,2022-10-13T23:00:13Z,tecnologia
mMRPO5wabqY,INOVAÇÃO: Conceito - Aula 1 de 4 | Prof. Alexandre Correa,Palestrante Alexandre Correa,2020-11-13T19:12:51Z,tecnologia
WAuyn3WHfuI,Queijo Amazonito: A Fusão Perfeita de Tradição e Inovação Direto de Bofete 🧀✨ #Fusqueijão,Fusqueijão - Por Aline Garrido,2024-09-23T21:10:23Z,tecnologia
DrOM6IrybFc,Inovação não existe,Atila Iamarino,2024-12-27T14:00:11Z,tecnologia
LOezRPMIG-4,Talks 02/04 - Globo - Inovação com Método - Como Criar Ideias e Tirá-las do Papel,Cia de Talentos,2025-04-03T09:12:55Z,tecnologia
x3duZTiSVQ8,Leo Estakazero - Inovação | DVD &quot;Estakazero Ao Vivo&quot; (Official Music Video),Leo Estakazero,2009-04-22T20:13:58Z,tecnologia
CKLJJj2z_uE,A INTELIGÊNCIA ARTIFICIAL da Apple Chegou e Aqui Estão as NOVIDADES,EntendendoiPhone,2025-04-02T12:51:32Z,tecnologia
4H6zgxtz5vk,"CHIP no CÉREBRO, INTELIGÊNCIA ARTIFICIAL e os MAIORES SINAIS da VINDA de JESUS - LAMARTINE POSELLA",Cortes do Inteligência [OFICIAL],2025-04-02T23:50:24Z,tecnologia
-bYR6f5LXEE,INTELIGÊNCIA ARTIFICIAL DO TWITTER CHAMA ELON MUSK DE MAIOR MENTIROSO DO PLANETA | Galãs Feios,Galãs Feios,2025-04-02T15:00:00Z,tecnologia
HNBtdyMjxKU,Inteligência Artificial Explicada em Apenas 11 Minutos | O Que É Inteligência Artificial?,Bruno Picinini,2024-04-18T21:30:01Z,tecnologia
i6xbl9QzIK0,As 3 etapas da inteligência artificial e por que 3ª pode ser fatal,BBC News Brasil,2023-06-04T12:00:26Z,tecnologia
V2POyQVQuzA,O vídeo para entender Inteligência Artificial de verdade,infinitamente,2024-11-29T14:35:39Z,tecnologia
Mf32OwhVkNA,3 maneiras de entender inteligência artificial (para leigos) (válido para 2025),Ricardo Cavallini,2018-02-02T23:56:13Z,tecnologia
DihUZ2vv2rM,I Seminário Virtual de Inteligência Artificial do CFM,CFM - Conselho Federal de Medicina,2025-04-03T20:26:56Z,tecnologia
alfTEpwguQc,Esses novos feitos da Inteligência Artificial preocupam o mundo inteiro,Fatos Desconhecidos,2025-01-06T23:30:02Z,tecnologia
92eSz2X0AlU,Computadores Quânticos Explicados,Ciência Todo Dia,2020-02-22T16:52:30Z,tecnologia
WULwZ6v_Ai8,Informática Básica: O que é um computador? Conheça alguns conceitos fundamentais da computação.,Eu TI Ensino,2020-10-08T14:00:08Z,tecnologia
6C_IR35EdBk,POV: Você decide estudar Ciência da Computação #algoritmos #desenvolvedor #programação,Academia dos Devs,2023-02-04T14:40:00Z,tecnologia
ehZpgjhqbOw,O que você precisa saber sobre o seu teclado para digitar corretamente. #informaticabasica #teclado,Sou independente digital,2023-09-30T12:01:41Z,tecnologia
vLbbTpfzzFc,Realidade em Perigo: A Ameaça Silenciosa dos Computadores Quânticos,Fatos Desconhecidos,2025-02-25T21:30:06Z,tecnologia
CDo1dhf6JjM,3 Coisas que Computadores Quânticos Vão Mudar Para Sempre,Ciência Todo Dia,2023-02-27T20:00:07Z,tecnologia
yLvetNt6StY,"O que é Computação Quântica? Computação Quântica: O que é, História e Aplicações",Engenharia Detalhada,2023-02-23T20:00:21Z,tecnologia
nAnb-LBrF0M,Concurso BANESE TI | Semana Decisiva | Conceitos de Sistema de Computação,Gran Cursos Online,2025-04-01T23:45:24Z,tecnologia
otYyA3Pge6c,4 anos de Ciência da Computação vale a pena? #shorts,brunomarcosluz,2023-04-26T20:06:00Z,tecnologia
NNGZ-fSRGsA,Assistir ao Filme Chico Bento e a Goiabeira Maraviosa 2025 HD Completo em Portugues,O Rei do Cinema,2025-03-22T11:00:06Z,entretenimento
hUW_u0Gq_78,Filme Completo Dublado em Português | Filme Dublado Completo HD filmes completos dublados,youhulie,2024-12-06T12:19:00Z,entretenimento
qqCFTkpyoWU,5 Realidades de Filmes PIORES que a MORTE,Canal PeeWee,2025-04-02T21:00:54Z,entretenimento
HBVyxYd2M0Q,ANTES e DEPOIS do ELENCO de TOP GUN #filmes #curiosidades #antesedepois #80s #cinema,Dá Play!,2025-04-03T00:30:11Z,entretenimento
UsUu5zHXn9s,MEXER COM A MÃE JÁ SABE NÉ 😎 #filmes #cinema #series,Aquela Cena,2025-03-28T21:15:01Z,entretenimento
7MSK2GQUKt8,"Filmes Completos Dublados | Street | Ação, Crime, Susupense | Filme Em Português",Ligue o filme,2024-11-16T15:56:17Z,entretenimento
9Z4ud-wYV0I,Como Derrotar os HOMENS OCOS em &quot;ENTRE MONTANHAS&quot;,Derrotando Filmes,2025-04-02T21:00:08Z,entretenimento
ECzMrDTigdI,Qual sua OPINIÃO Sobre essa cena ?😮🎥FILME: Dívida de Honra,Trechos Notáveis,2025-03-31T15:00:23Z,entretenimento
g-0XsUkYwFM,Você Conhece Essa Cena Icônica? #shorts #filmes #Motivacional #filmclips #shortsfeed,Cenas Imperdíveis ,2025-03-28T03:43:08Z,entretenimento
w-HULE-FCMI,TOP 10 MELHORES SÉRIES DO PRIME VIDEO DE ACORDO COM O IMDB,Série Maníacos,2025-03-31T20:00:09Z,entretenimento
77KM0OzwnUs,O que você achou dessa cena.#series #filmesnovos #shortsfeed,Trechos de séries,2025-03-26T23:25:09Z,entretenimento
I6IqwJvRyjc,As 10 séries da Netflix mais assistidas de todos os tempos #curiosidades #series #serienetflix,RNF CURIOSIDADE DO MUNDO,2024-07-24T15:30:10Z,entretenimento
tjU0drqz9s8,APRENDA INGLÊS ASSISTINDO SÉRIES:  Pare de decorar regras,Tia do Inglês,2025-04-01T14:45:03Z,entretenimento
TZ2w4RXWoiE,Top 5 Séries Turcas para assistir ainda hoje 📽️🇹🇷 #seriesturcas,Cine Cortes - Oficial,2023-11-12T17:45:29Z,entretenimento
sIkIzcYpouA,"Oruam ft. Zé Felipe, Mc Tuto, Rodrigo do CN - OH GAROTA QUERO VOCE SO PRA MIM (prod. DJ LC da Roça)",Mainstreet Records,2024-12-17T22:00:06Z,entretenimento
k1_IIetlafw,"Mix Sertanejo 2025 💥 Música Sertaneja Mais Tocadas 💥 Henrique e Juliano, Marília Mendonça, Felipe F.",Felipe Fiérry,2025-02-01T21:41:46Z,entretenimento
_b_J9tzgDes,A VERDADE sobre o Ei Nerd Games,Cortes do Davy Jones [OFICIAL],2025-04-01T20:03:00Z,entretenimento
8QAznxg4O5o,"NINTENDO SWITCH 2, COBERTURA do GRANDE LANÇAMENTO - #FGN #flowgames",Flow Games,2025-04-02T14:37:18Z,entretenimento
WyEme1kuS0w,Forma mais barata de assinar Serviços de Streaming #netflix #hbomax #disneyplus #primevideo,Alan Geek,2023-02-24T10:29:16Z,entretenimento
9ugVG5zX810,Análise: Lula antecipa pontos estratégicos da política de comunicação do governo | BASTIDORES CNN,CNN Brasil,2025-04-03T16:30:10Z,política
pQS1VfqMddw,Pesquisa Quaest mostra que antilulismo vai se calcificando como força política para 2026 | Josias,UOL,2025-04-02T14:11:56Z,política
wYeJQ2I7aCs,Josias de Souza / Antilulismo vai virando força política,Jornal da Gazeta,2025-04-02T22:31:15Z,política
FKUJuH3ZpAo,"DEMISSÃO DE MANO MENEZES DO FLUMINENSE ENVOLVEU POLÍTICA, THIAGO SILVA E MAIS; PVC CONTA BASTIDORES",UOL Esporte,2025-03-31T19:14:04Z,política
aD3dzhOMV4A,Trump adota política da reciprocidade e impõe tarifa de 10% contra o Brasil,Revista Oeste,2025-04-03T16:15:00Z,política
j5iHKy-Kpds,"Existe contaminação política no STF, diz especialista | WW",CNN Brasil,2025-03-29T01:46:59Z,política
lSR-pHOLnQs,"STF faz &#39;política Judiciária&#39; e joga impedimento de Moraes e Dino no lixo, critica Maierovitch",UOL,2025-03-21T16:05:02Z,política
ZmbMgL1ci9k,Pesquisa Atlas simula 2° turno para as eleições de 2026 | CNN 360°,CNN Brasil,2025-04-01T20:06:44Z,política
Xfq7SovKPAE,Caiado sobre disputa para eleições de 2026: Nunca escolhi adversário | LIVE CNN,CNN Brasil,2025-04-03T14:33:21Z,política
Rg3qRmKHfn4,65% da POPULAÇÃO não quer que LULA dispute as ELEIÇÕES em 2026; Ciro Nogueira ANALISA,Morning Show,2025-04-03T13:57:42Z,política
xdjA609Gy7U,"“Lula vai chegar imbatível para eleições de 2026”, diz ministro do Turismo à CNN | CNN 360°",CNN Brasil,2025-03-31T20:59:39Z,política
3c9gKGbPpA0,Eleições Antecipadas em Portugal! O Que Muda e Quem Realmente Manda no País?,Posso te mostrar Portugal?,2025-04-02T18:00:02Z,política
ayGnjq1Jeiw,"Lula não deveria se candidatar à reeleição, para 62% #shorts #lula #eleições",Rede Gospel de Televisão,2025-04-03T13:51:02Z,política
w8EmHE90Wcs,Eleições 2026: Falta de opções preocupa PT | CNN 360º,CNN Brasil,2025-04-01T20:16:24Z,política
RWKDwH82CDM,Faltam 5 dias para as Eleições Municipais de 2024,Canal TRE Gaúcho,2025-04-03T20:43:44Z,política
a9wNytHf6LE,Aliado do governo crava Tarcísio como candidato nas eleições de 2026,Os Pingos nos Is,2025-04-01T22:35:58Z,política
r5FdcQqKfAw,4º Congresso Brasileiro de Trauma e Medicina de Emergência --- 2º Dia,Ensino Acadêmico de Urgência e Emergência LAUEC-AM,2025-04-03T02:11:05Z,política
nIAUHu4O3Nw,Congresso reage ao tarifaço de Trump e aprova reciprocidade na taxação,TV Senado,2025-04-02T23:43:22Z,política
MykXp7RD37E,1º Congresso Brasileiro de Psicologia e Serviço Social no Sistema Hospitalar,Escola Mineira de Humanidades,2025-04-03T00:19:44Z,política
D1vaA4_9WZI,Atos esvaziados da direita e esquerda mostram que anistia não tem força no Congresso | Tales Faria,UOL,2025-03-31T14:37:21Z,política
tm0E8-qGO2Y,1º Congresso Brasileiro de Psicologia e Serviço Social no Sistema Hospitalar,Escola Mineira de Humanidades,2025-04-02T00:26:40Z,política
d00BWtbPqu8,Hugo Motta e Congresso devem votar projeto de anistia nesta semana; comentaristas opinam,Jovem Pan News,2025-03-31T23:30:33Z,política
kv5oCAdy6qw,Projeto que permite ao Brasil retaliar &#39;tarifaço&#39; de Trump avança no Congresso,g1,2025-04-01T14:42:17Z,política
NG52flXvoGg,📣 Abertura do 14º CONGRESSO DA CONTAG,TV CONTAG,2025-04-01T23:48:43Z,política
do9xSQJdc-w,1º Congresso Brasileiro de Psicologia e Serviço Social no Sistema Hospitalar,Escola Mineira de Humanidades,2025-04-01T00:24:00Z,política
B-80u7aR4gY,"Com Bolsonaro réu, oposição no Congresso quer emplacar guerra política",Metrópoles,2025-03-30T17:55:57Z,política
JgWuDi22E5E,PRESIDENTE DO SANTOS SOLTOU O VERBO DE MANEIRA &quot;CORRETA&quot;? DEBATEMOS DECLARAÇÃO DE MARCELO TEIXEIRA,Cortes da TNT Sports,2025-03-31T19:31:09Z,política
9YTF8XX48hI,"56% desaprovam governo Lula, segundo pesquisa Genial/Quaest | Jornal da Band",Band Jornalismo,2025-04-02T23:27:28Z,política
Pqd_QZ5jt3U,Quaest: Desaprovação do governo Lula sobe sete pontos e chega a 56% | LIVE CNN,CNN Brasil,2025-04-02T13:56:52Z,política
fb5PnMfo5_g,Quaest: desaprovação do governo Lula é de 56% e passa pela 1ª vez dos 50%,UOL,2025-04-02T13:38:02Z,política
00-FALNOSp8,"Governo Lula acerta ao esperar a poeira do tarifaço de Trump baixar, diz ex-embaixador",UOL,2025-04-03T20:41:21Z,política
EHpIax1lVyU,“Governo Lula não fez o pé-de-meia e agora corre descalço” | Estadão Analisa,Estadão,2025-04-03T10:57:02Z,política
68MDRkvixU8,"Em busca de popularidade, governo Lula faz evento com balanço da gestão | CNN NOVO DIA",CNN Brasil,2025-04-03T11:53:30Z,política
kiXmERpwtHo,"Crise? 56% dos brasileiros desaprovam governo Lula, revela Quaest",Jovem Pan News,2025-04-03T00:38:43Z,política
akAmCFBLpYY,Lula fala ao vivo e apresenta ações feitas pelo governo em meio a queda de popularidade; assista,UOL,2025-04-03T15:15:31Z,política
k7Ykn_ZkTco,"Em busca de popularidade, Lula quer mostrar o que o governo tem feito | CNN NOVO DIA",CNN Brasil,2025-04-03T09:45:39Z,política
VANOTiSsg2Y,Quaest: Desaprovação do governo Lula sobe entre mulheres e supera aprovação,UOL,2025-04-02T14:04:12Z,política
qaSj-w001e8,CORINTHIANS SOFRE E PERDE para o Huracán em casa na estreia da Sul-Americana | Melhores Momentos,ESPN Brasil,2025-04-03T00:32:02Z,esportes
nXwLWMG3xiI,"ALISSON marca, e SÃO PAULO vence o TALLERES na estreia da Libertadores | Melhores Momentos",ESPN Brasil,2025-04-03T03:12:14Z,esportes
G245sUbjfh8,"COUTINHO faz GOLAÇO, mas VASCO cede empate ao MELGAR na Sul-Americana| Melhores momentos",ESPN Brasil,2025-04-03T00:44:48Z,esportes
5-LoIDAHNZU,Quando a mão é permitida no futebol 👋,Futebol com Histórias,2025-01-02T13:41:54Z,esportes
YA8ToBosUvg,BRASIL : A Triste Morte do PAÍS DO FUTEBOL,Victorando fut,2025-03-29T14:32:11Z,esportes
WfGfeezyzjo,O JORGE JESUS NÃO VEM por causa do NEYMAR?,Outset Sports,2025-03-29T14:00:28Z,esportes
9Zbj5SiYypE,Qual enterrada você achou a mais bonita?,Basquete pra vida,2024-08-14T21:54:34Z,esportes
TvdgRhHVF0I,EXPLICANDO QUAIS SÃO AS POSIÇÕES DO BASQUETE (Guia Completo),Basquete pra vida,2023-09-10T15:00:16Z,esportes
1MyCNU8lDow,Celine Dion na Cerimônia de Abertura 🎤 ✨ #Paris2024 - Apresentação completa,Olympics,2024-07-26T23:04:10Z,esportes
-jnc0kNjavE,Ginástica Rítmica: Equipe Brasil ( Classificatória rotação 2) | #Paris2024,Olympics,2024-08-09T16:16:22Z,esportes
kmOGe5Hv-mg,Rebeca Andrade - Apresentação no solo (Final Ginástica Artística) 🇧🇷 | #Paris2024,Olympics,2024-08-01T21:32:59Z,esportes
b_0j6LHkjoY,O CARA Mais SINISTRO Das OLIMPIADAS (YUSUF DIKEC) via: @eurosport (TT@henrioliver35 @trtsporyildiz),Daniel Oliver,2024-08-02T12:29:46Z,esportes
zSAGwpDDkE0,Bizarrices na Olimpíadas #olimpiadas #historia,Plano Piloto,2024-08-07T13:24:16Z,esportes
OCBcq7O06UI,Preparratório Olimpíadas de Física 2025 - Cinemática - Parte 2,Olimpíadas de Física RJ,2025-04-02T10:25:18Z,esportes
okywg9eqbc8,7 Tragédias Mais Horripilantes dos Jogos Olímpicos,Mundo Aleatório,2025-02-17T22:02:06Z,esportes
V-exInjKEKY,Melhores Momentos Sport 1 (4) x 2 (2) Retrô | Final do Campeonato Pernambucano | 02.04.25,TV Jornal SBT,2025-04-03T03:55:36Z,esportes
f6EzPLEqbMA,COMO FOI A DISPUTA DE PÊNALTIS DE SPORT E RETRÔ NA FINAL DO CAMPEONATO PERNAMBUCANO | COMPILADOS,Canal GOAT,2025-04-03T03:55:45Z,esportes
tmHZM6d8oX0,MEU IRMÃOZINHO FOI EXPULSO NA FINAL DO CAMPEONATO!! 💔,Jão Bastos,2024-12-09T22:18:40Z,esportes
30TtaB8XLZ4,AMÉRICA-MG 1 X 1 BAHIA | MELHORES MOMENTOS | CAMPEONATO BRASILEIRO FEMININO 2025 | sportv,ge,2025-04-01T01:38:49Z,esportes
aeFfeabiFhU,DRÁMATICO! SPORT VENCE NOS PÊNALTIS E É CAMPEÃO DO CAMPEONATO PERNAMBUCANO 2025! | MELHORES MOMENTOS,Canal GOAT,2025-04-03T03:14:25Z,esportes
8L71QATmPMI,André Carrillo foi considerado um dos melhores meio-campistas do Campeonato Paulista! 🇵🇪,Corinthians TV,2025-03-29T00:51:54Z,esportes
bJpNkoRpOlo,Kauan Basile joga por FC Flair no Campeonato de Futsal em Orlando nos Estados Unidos.#Orlando 2024.,Kauan Basile (Oficial),2024-08-04T13:32:46Z,esportes
RUtKo4we85E,AS MAIORES GOLEADAS DE CADA CLUBE NO CAMPEONATO BRASILEIRO #futebol #futebolbrasileiro #flamengo,Robertfutmania ,2024-07-28T20:31:24Z,esportes
Lyl0rcTyx-g,DANIEL 220v FINALIZA MATHEUS FONSECA NO MATA LEÃO E É CAMPEÃO DO ADXC 7,Bjj Cria,2024-11-19T20:30:03Z,esportes
0ydzyeQ11ME,CORRIDA DE RUA - 4 DICAS‼️,BRUNA IANHEZ,2023-09-29T22:00:00Z,esportes
ViQx4uRG8Os,É POSSÍVEL COLOCAR O SHAPE E PRATICAR CORRIDA? CARIANI EXPLICOU – IRONCAST CORTES,CarianiTV,2023-01-10T21:00:24Z,esportes
v_ZdwBn6rjo,Abastecimento Rc offroad!! Corrida do Campeonato Paulista #motorsport #corrida #f1,No Controle Racing,2024-08-24T00:31:41Z,esportes
QkfN4qwFRgU,O que é a dor de lado durante a corrida - Corrida em Gotas 💦,Viajar correndo,2025-04-01T22:16:06Z,esportes
rRK6yk6vO5A,CORRIDA para INICIANTES! Como começar a correr do zero?,Raquel Castanharo,2022-08-04T21:00:34Z,esportes
nzV0vDncr4A,Equação do 1º grau - Prof Robson Liers #equação #matemática,Prof. Robson Liers - Mathematicamente,2023-01-20T14:26:22Z,educação
EN_mjyaNGyM,A matemática é linda em?? Super gênios resolvendo contas 👀 #matematica #exatas,A Menina da Matemática,2025-01-15T15:00:31Z,educação
obKEn1KkMUI,TODA A MATEMÁTICA Explicada em 25 minutos.,Ciência Mapeada,2024-11-27T23:14:20Z,educação
0KqcIcB-HXU,"Matemática básica para concurso, não erre porcentagem #matematica #concurso #viral",MATEMÁTICA EM SEGUNDOS,2023-12-14T06:29:38Z,educação
6FliHIDP5fo,ADEUS CALCULADORA: Aprenda a tabuada da multiplicação por 3 com o Mr Bean da Matemática 👨🏻‍🏫,Professor Dr. Rafael Bastos Mr. Bean da Matemática,2022-01-19T00:50:53Z,educação
kNgn1LgSr0w,Rápido e Fácil !! | OBMEP | Muito fácil | Matemática para leigos,Matemática Para Leigos,2023-12-23T12:33:31Z,educação
EdqmGd9ldGg,MATEMÁTICA TURBO APRENDA RÁPIDO E GABARITE!,Exatas pra Gabaritar,2025-04-02T23:30:07Z,educação
5kwk-wCth38,O Maior FDP da História:,"Investiga, Pinhel! ",2023-10-29T14:46:31Z,educação
SspbwirduUg,Os Japoneses não Acreditavam que negros Existiam - O Banho de Yasuke - O Samurai Negro #história,Foca na História,2024-05-24T18:00:24Z,educação
xJwFZH49wDA,SACANI RESPONDE [A HISTÓRIA COMPLETA DAS PIRÂMIDES] - Ciência Sem Fim #302,Ciência Sem Fim,2025-04-03T03:18:58Z,educação
ujXL1_7qztQ,Esse foi o rei mais sujo e fedido da história! Luís XIV #historia #curiosidades #fatoscuriosos,History Zone ,2024-11-30T02:41:05Z,educação
Osx5jwS_xgg,O SURGIMENTO DA HISTÓRIA,Vogalizando a História,2025-04-01T22:00:20Z,educação
9JUO2_DX-0Y,pessoas que mudaram a história SEM QUERER.,Giuliana Mafra,2025-02-08T19:00:05Z,educação
mzK30c7NAaU,Isadora Pompeo - História,Musile Records,2020-06-04T13:00:10Z,educação
FqeGA86pkvs,"DPE RO Pós-Edital: História, Geografia e Atualidades de Rondônia - Prof. Sérgio Henrique",Estratégia Concursos,2025-04-03T15:17:11Z,educação
xJwFZH49wDA,SACANI RESPONDE [A HISTÓRIA COMPLETA DAS PIRÂMIDES] - Ciência Sem Fim #302,Ciência Sem Fim,2025-04-03T03:18:58Z,educação
mezqWByQhNk,O Dilema do Crocodilo,Ciência Todo Dia,2024-08-16T15:00:52Z,educação
4YoCjV7wHiU,COMO a bexiga ENCHE sem SOPRAR?,Manual do Mundo,2024-08-28T20:00:01Z,educação
giXv1-fDg_I,A DIFICULDADE da CIÊNCIA de DADOS,Ciência Sem Fim,2024-03-23T14:30:13Z,educação
cGaTbFin6XM,COMO SURGIU o UNIVERSO?,Ciência Sem Fim,2024-06-01T17:06:43Z,educação
0WYv7KeyGuY,por que temos CÃIBRA?,Ciência Todo Dia,2024-11-12T18:59:50Z,educação
af_0SmazGwo,A ideia mais POLÊMICA da ciência,Ciência Todo Dia,2024-06-07T20:00:00Z,educação
o-HYi4P8cmQ,Já viu ÁGUA orbitar um CANO? Faça esse EXPERIMENTO incrível!,Manual do Mundo,2024-08-09T20:00:16Z,educação
QUKQps7Qu78,MC Nathan ZK e MC Menor MR - Aprendizado (kondzilla.com),Canal KondZilla,2020-11-10T15:00:07Z,educação
NYmDsspjnbQ,Como MEMORIZAR e APRENDER Qualquer Coisa Rápido [Lair Ribeiro],Lugar da Mente,2023-07-31T16:25:00Z,educação
TVHUs67kwRk,Como Aprender TUDO Que Quiser: Técnica Feynman (5 Passos),Eureka!,2019-05-30T00:46:54Z,educação
posTc56basM,3 técnicas indicadas por cientistas para qualquer pessoa melhorar nos estudos,BBC News Brasil,2020-02-16T10:09:47Z,educação
uDS84UATPpo,A Neurociência da Aprendizagem,Mateus Andrade - O Brabo dos Concursos,2024-04-08T20:01:25Z,educação
TDJAU31wG58,Aprender os Números em Português  | Musica infantil | Desenho Animado com Os Amiguinhos,Os Amiguinhos,2020-10-09T21:00:09Z,educação
cwn_1glH9fU,Como Aprender Qualquer Coisa RÁPIDO,André Arcas,2023-05-18T21:00:15Z,educação
o0pQ9TvH2E0,Por que conhecimento muda tudo? #aprendizado #liderança #negócio#gestão#mentemilionaria#sabedoria,ProdutivLíder,2025-04-01T13:01:13Z,educação
xuAvkbUpa78,Aprender &amp; Brincar™ | Preparando-se para o dia | Compilação | Desenhos Animados | Aprendendo,Fisher-Price® Brasil,2020-07-30T20:00:05Z,educação
1nWktrduWII,"Lição da Escola Sabatina ADULTOS , Quinta 03/04/03/2025 &quot;Literal ou Simbólico&quot; com Pr Dudu.",Pr Dudu Batista,2025-04-03T08:00:06Z,educação
DD21wVpqEjU,"LIÇÃO DA ESCOLA SABATINA JOVEM, Quinta 03/04/25 &quot;Raio de Esperança&quot; com Pr Dudu. Instagram: @prdudu",Pr Dudu Batista,2025-04-03T08:00:06Z,educação
KYt0x8BLpog,Professora é esfaqueada por alunos em escola de Caxias do Sul (RS) | Tá na Hora  (01/04/25),SBT News,2025-04-01T22:01:14Z,educação
cR_JKSBkWGo,"Menina de 13 anos, da RMC, desaparece após sair da escola; pistas são reveladas",RICtv,2025-04-02T22:28:11Z,educação
WEGd7sPWB4U,Mundo Bita - Hora da Escola,Mundo Bita,2021-02-26T13:00:10Z,educação
7H_N_A6oxOI,De boa na sala de aula… de repente a professora vira ! #shortsviral,Marcela Jardim Oficial,2024-06-29T19:02:08Z,educação
7uEPmRL63PY,Quinta 03.04 | Liberal ou simbólico? | Lição 1 | Escola Sabatina com Pr. Hélio Carnassale,Safeliz Português,2025-04-03T04:00:06Z,educação
18bFak5hZgg,pérolas da escola pública brasileira,Giuliana Mafra,2024-06-01T15:00:02Z,educação
